    cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 namePart2 namePart3 reference
    PK08Y010  2019 09 10.5740  1.267829  0.736117  162.8094  259.3365    8.9186  20190228  15.0  4.0  P/2008 Y1 (Boattini)                                     MPC_65935
    PK08Y030  2009 01  6.1972  4.451223  0.446458  238.4154  262.7805   38.7596  20190228   8.5  4.0  P/2008 Y3 (McNaught)                                     MPC_75710
    PK08Y120  2019 10  9.7295  0.067482  0.978073  144.4291  309.7466   23.6572  20190228   9.0  4.0  P/2008 Y12 (SOHO)                                        MPC_88693
    PK09B010  2026 07  8.1568  2.460852  0.634387  129.0230  297.0882   22.2206  20190228  13.0  4.0  P/2009 B1 (Boattini)                                     MPC_75710
    CK09B020  2009 03  7.1745  2.347087  0.942618  192.5762   18.7468  156.9169  20190228  12.5  4.0  C/2009 B2 (LINEAR)                                       MPC_82315
    CK09E010  2009 04  7.7494  0.590777  0.985238   48.6170  105.6394  127.0776  20190228  11.5  4.0  C/2009 E1 (Itagaki)                                      MPC_72850
    CK09F010  2009 06 28.5851  1.835617  0.981075  219.7112  357.9399  171.3811  20190228  15.0  4.0  C/2009 F1 (Larson)                                       MPC_82315
    CK09F020  2009 11 13.2073  5.904132  0.983920  336.5817  213.9351   59.3349  20190228   6.0  4.0  C/2009 F2 (McNaught)                                     MPC112389
    CK09F040  2012 01  2.8700  5.447127  1.000358  260.3699   53.5583   79.4541  20190228   3.0  4.0  C/2009 F4 (McNaught)                                     MPC_95208
    CK09F050  2008 10 31.9943  2.261745  0.971267  297.4438  218.8161   84.9443  20190228  10.0  4.0  C/2009 F5 (McNaught)                                     MPC_66204
    CK09F060  2009 05  5.9149  1.281679  0.997348  129.8586  279.0937   85.6369  20190228   6.0  4.0  C/2009 F6 (Yi-SWAN)                                      MPC_72850
    CK09G010  2009 04 13.7985  1.126175  0.997152  175.2911  120.5003  108.6301  20190228   9.0  4.0  C/2009 G1 (STEREO)                                       MPC_66466
    CK09K020  2010 02  8.8433  3.227443  0.996444  147.5760  123.5803   66.8610  20190228  10.0  4.0  C/2009 K2 (Catalina)                                     MPC_82315
    CK09K040  2009 06 18.1362  1.564358  0.963054  127.7955   29.8610   34.8300  20190228  13.0  4.0  C/2009 K4 (Gibbs)                                        MPC_66703
    CK09K050  2010 04 30.4164  1.422751  0.999439   66.1919  258.1119  104.2858  20190228   7.5  4.0  C/2009 K5 (McNaught)                                     MPC_82315
    CK09O020  2010 03 24.3301  0.704644  0.997293  133.7051  310.6354  107.7592  20190228  11.0  4.0  C/2009 O2 (Catalina)                                     MPC_69905
    PK09O030  2009 05 13.3067  2.440039  0.686237  154.3032  183.7800   16.2282  20190228  12.5  4.0  P/2009 O3 (Hill)                                         MPC_75710
    CK09O040  2009 12 27.4131  2.567177  0.999709  223.6980  173.0013   95.8275  20190228  10.0  4.0  C/2009 O4 (Hill)                                         MPC_67147
    CK09P010  2011 12 21.4144  1.562448  0.999856   90.9114  326.2350  106.3259  20190228   4.0  4.0  C/2009 P1 (Garradd)                                      MPC103843
    CK09P020  2010 02  6.8959  6.532041  0.999115   76.1124   60.4924  163.4106  20190228   6.0  4.0  C/2009 P2 (Boattini)                                     MPC_76024
