cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 reference
0178P         2020 07 16.3142  1.884677  0.481791  297.5903  102.8736   11.0823  20190228  13.5  4.0  178P/Hug-Bell                                            MPC105242
0179P         2022 05 27.0161  4.132115  0.305320  296.2766  115.5203   19.8918  20190228   2.5  8.0  179P/Jedicke                                             MPC_75723
0180P         2015 12 12.0946  2.493092  0.353992   94.9278   84.5548   16.8685  20190228  11.0  4.0  180P/NEAT                                                MPC_10028
0181P         2022 01  9.4021  1.160006  0.700208  336.2872   35.4111   17.4854  20190228  11.5  4.0  181P/Shoemaker-Levy                                      MPC_89012
0182P         2017 04 11.7561  1.005504  0.660187   53.7902   72.7932   16.2477  20190228  18.0  4.0  182P/LONEOS                                              MPC_88331
0183P         2017 11 16.0097  3.874502  0.139143  161.9246    5.8002   18.7205  20190228  12.5  2.0  183P/Korlevic-Juric                                      MPC110085
0184P         2020 10 26.1103  1.696951  0.552100  186.4737  173.4428    4.5779  20190228  13.5  4.0  184P/Lovas                                               MPC105242
0185P         2018 01 27.6281  0.933881  0.698809  181.9099  214.0991   13.9940  20190228  15.0  4.0  185P/Petriew                                             MPC109593
0186P         2019 05  4.8139  4.389481  0.123598  283.7585  327.0965   28.4074  20190228   7.5  4.0  186P/Garradd                                             MPC_10028
0187P         2018 05 23.3646  3.879734  0.153956  132.8774  109.9196   13.6264  20190228   9.0  4.0  187P/LINEAR                                              MPC104795
0188P         2017 02 16.6911  2.563315  0.414685   26.6738  358.9627   10.5131  20190228  11.5  4.0  188P/LINEAR-Mueller                                      MPC106349
0189P         2017 08  6.0406  1.212983  0.588472   16.2321  281.7408   20.0710  20190228  19.0  4.0  189P/NEAT                                                MPC106349
0190P         2016 04  7.3174  2.033247  0.520246   50.3584  335.5539    2.1730  20190228  13.0  4.0  190P/Mueller                                             MPC_75724
0191P         2021 03 16.4594  2.210540  0.392352  284.0112   98.3810    8.8066  20190228  13.0  4.0  191P/McNaught                                            MPC_92277
0192P         2024 05 26.5761  1.476404  0.772128  312.8679   51.6695   24.5150  20190228  15.0  4.0  192P/Shoemaker-Levy                                      MPC_75724
0193P         2021 08 26.2122  2.166866  0.393767    8.3109  335.1948   10.6870  20190228  14.0  4.0  193P/LINEAR-NEAT                                         MPC_91618
0194P         2016 03  2.0825  1.692263  0.576037  130.6228  351.8588   11.1402  20190228  16.0  4.0  194P/LINEAR                                              MPC_98566
0195P         2025 07 30.6255  4.454588  0.313863  249.6534  243.0833   36.3431  20190228   8.5  4.0  195P/Hill                                                MPC_75724
0196P         2022 10 30.5293  2.164186  0.429553   12.4262   24.2441   19.3277  20190228  13.5  4.0  196P/Tichy                                               MPC_92985
0197P         2018 01 28.8542  1.060197  0.630121  188.7049   66.3929   25.5566  20190228  16.5  2.0  197P/LINEAR                                              MPC_94676
0198P         2018 12 13.9006  2.005934  0.443218   69.2920  358.2791    1.3379  20190228  12.5  4.0  198P/ODAS                                                MPC_65937
0199P         2023 08  7.4700  2.918325  0.505680  191.4724   92.3987   24.9348  20190228  10.0  4.0  199P/Shoemaker                                           MPC_75725
0200P         2019 07 28.4856  3.297244  0.331545  133.9762  234.8008   12.1058  20190228   9.0  4.0  200P/Larsen                                              MPC111774
0201P         2021 05 23.6023  1.246501  0.634304   28.0309   32.1309    6.5785  20190228  14.0  4.0  201P/LONEOS                                              MPC_93588
